venue,event_name,date,url
Last Pub,Jas (DJ),2026-09-03,https://lpsnorwich.co.uk/
Last Pub,LPS PRESENTS: DISCO with Discofonique,2026-09-04,https://lpsnorwich.co.uk/
Last Pub,All Night Long with Nikki,2026-09-05,https://lpsnorwich.co.uk/
Last Pub,Norwich Jazz Jam,2026-09-07,https://lpsnorwich.co.uk/
Last Pub,Housekind,2026-09-11,https://lpsnorwich.co.uk/
Last Pub,All Night Long with Cheers!,2026-09-12,https://lpsnorwich.co.uk/
Last Pub,The Listening Club - Prince,2026-09-13,https://lpsnorwich.co.uk/
Last Pub,Norwich Jazz Jam,2026-09-14,https://lpsnorwich.co.uk/
Last Pub,Revinyl Sessions,2026-09-18,https://lpsnorwich.co.uk/
Last Pub,All Night Long with AMSORRY2,2026-09-19,https://lpsnorwich.co.uk/
Last Pub,Chubby Jams,2026-09-20,https://lpsnorwich.co.uk/
Last Pub,Norwich Jazz Jam,2026-09-21,https://lpsnorwich.co.uk/
Last Pub,A Joint Effort,2026-09-24,https://lpsnorwich.co.uk/
Last Pub,All Night Long with Three More Tunes & Aoife,2026-09-25,https://lpsnorwich.co.uk/
Last Pub,Future Grooves,2026-09-26,https://lpsnorwich.co.uk/
Last Pub,Norwich Jazz Jam,2026-09-28,https://lpsnorwich.co.uk/
