Jan 8th,Dead Wax,Pêche summer party
Feb 9th,Dead Wax,Corncutter promotions present: Newberry & Verch
Mar 9th,Dead Wax,Asinine Corp Presents: Sans Froid + Supports
Mar 10th,Dead Wax,Diving Deep with Bag of Cans & Gourds
May 9th,Dead Wax,sabaka promo: toil + supports
Jun 8th,Dead Wax,comb (dJ Set)
Jun 8th,Dead Wax,reel it records presents: on deck
Jun 9th,Dead Wax,Concrete Vehicles + Slag Heap + Toast
Jul 15th,Space,Circular Sequins
Jul 23rd,Dead Wax,"Norwich Pride Fundraiser: Kitty Perrin, Santa Rita (solo), Flat Venus"
Jul 24th,Dead Wax,dreams from '83
Jul 24th,Dead Wax,Tadi the great (DJ set)
Jul 25th,Dead Wax,poppy moore's ipod Norwich pride
Jul 26th,Dead Wax,Draw Some Paws: Cat Life Drawing Class
Jul 28th,Dead Wax,the sickos secret cinema: mystery movie night
Jul 30th,Dead Wax,Comb (DJ SET)
Jul 31st,Dead Wax,"Heavysun Promotions Presents: Polly (de), Yufo, Black Transistor"
Aug 1st,Space,All Things Jungle
Aug 6th,Space,Ben Wegg
Aug 7th,Space,Robyne Open to Close
Aug 8th,Space,All Things House
Aug 8th,Dead Wax,Anna B (DJ SET)
Aug 8th,Dead Wax,Hangry Yeti + lara price
Aug 9th,Dead Wax,Johnny Foreigner + supports
Aug 13th,Dead Wax,Victor Villarreal + Yer Blooze + KiraKira
Aug 14th,Space,Basement Sessions
Aug 14th,Dead Wax,Amy Nomvula (DJ Set)
Aug 15th,Dead Wax,Tadi the great: All evening long
Aug 17th,Dead Wax,rhyme against the machine
Aug 17th,Revolucion de Cuba,Strictly Salsa Norwich
Aug 19th,Dead Wax,the sickos secret cinema
Aug 20th,Space,A Joint Effort
Aug 20th,Dead Wax,dreamcast
Aug 21st,Space,Molly Willis + Mo Ferral + Milly Anna
Aug 21st,Space,The London Exchange
Aug 21st,Dead Wax,George (Soul stew)
Aug 22nd,Space,Rift - All Techno All Night
Aug 22nd,Dead Wax,three more tunes (dj)
Aug 22nd,Dead Wax,Know Your NME Clubnight
Aug 24th,Dead Wax,the sickos secret cinema
Aug 26th,Space,Space 5th Birthday - House Party
Aug 26th,Brickmakers,Norfolk Blues Society
Aug 26th,Dead Wax,Soapy (dj Set)
Aug 27th,Brickmakers,Open Mic with Peter T
Aug 28th,Space,Carp0 + Jim Equipment Open to Close
Aug 28th,Brickmakers,Rust Metal
Aug 28th,Dead Wax,George (soul Stew)
Aug 28th,Dead Wax,FREE monthly wax: Irked + BEN AULD BAND + the breedling
Aug 28th,Revolucion de Cuba,Case de Cuba - Bank Holiday Fiesta
Aug 29th,Space,Elijah + Rondel Open to Close
Aug 29th,Gonzos,Sounds of Summer
Aug 29th,Holloway,Ideal Surreal presents: Slackdaws + Cruiser Chimps + Toast
Aug 29th,Epic,The Eminem Experience
Aug 29th,Waterfront,New Kind of Cramps
Aug 29th,Voodoos,Cud
Aug 29th,Dead Wax,Bone Machine
Aug 29th,The Reindeer,Lowlife
Aug 30th,Space,Synthesis
Aug 30th,Gonzos,Rooftop Sunday Sessions w Joshua Roberts & Friends
Aug 30th,Epic,G2 Definitive Genesis
Aug 30th,Brickmakers,2 Tone Mafia
Aug 30th,Arts Centre,This Is The Kit
Aug 30th,Waterfront,Dma’s
Aug 30th,Dead Wax,One Love Presents: Carnival Special
Aug 30th,Revolucion de Cuba,Barney Holmes!
Aug 31st,Epic,Arrested Development (plus Tadi The Great)
Aug 31st,Brickmakers,Brickfest
Sep 1st,Arts Centre,The Felice Brothers
Sep 2nd,Space,Jewellry Making + Drinks
Sep 3rd,Space,Lunavara Jam Night
Sep 3rd,Epic,Can You Catch A Serial Killer?
Sep 3rd,Waterfront,Altered Images
Sep 3rd,Waterfront,A Place To Bury Strangers
Sep 3rd,Last Pub,Jas (DJ)
Sep 4th,Space,Happy Neighbours + Support
Sep 4th,Gonzos,Denis Sulta - All Night Long
Sep 4th,Holloway,Kulk (Record release show!) / IAN / Hellga (Show one!)
Sep 4th,Brickmakers,Brickmakers Battle Of The Bands Final
Sep 4th,Maddermarket,The Alter Eagles
Sep 4th,Arts Centre,Round Midnight presents Kazdoura
Sep 4th,Waterfront,Goldie Lookin Chain
Sep 4th,Voodoos,Oscar Jerome + i.am.afiya
Sep 4th,Brickmakers,In Situ
Sep 4th,Last Pub,LPS PRESENTS: DISCO with Discofonique
Sep 5th,Space,Phreq
Sep 5th,Gonzos,Resident House Party
Sep 5th,Holloway,Kulk (Record release show!) / Concrete Ships / HKFL (Show two!)
Sep 5th,Brickmakers,Counterfeit Brits
Sep 5th,Maddermarket,Intellectual Hooligans
Sep 5th,Waterfront,Dirty DC – The AC/DC Tribute
Sep 5th,Waterfront,Sharp Class
Sep 5th,Hangar,Andy C - Norwich - Day Party - 5th September
Sep 5th,Last Pub,All Night Long with Nikki
Sep 6th,Gonzos,Rooftop Sunday Sessions w Somewhere Soul
Sep 6th,Epic,Luke Combs UK
Sep 6th,Brickmakers,Kicking Valentina + Support
Sep 6th,Brickmakers,Searchlight presents....Kickin Valentino and more.
Sep 6th,The Reindeer,Wensum Blues Band
Sep 7th,Epic,The Bootleg Beatles
Sep 7th,Last Pub,Norwich Jazz Jam
Sep 8th,Maddermarket,Paul Higgs presents: Cult TV Jazz
Sep 8th,Waterfront,As It Is
Sep 8th,Voodoos,Voodoo Daddy’s Open Mic
Sep 8th,Dead Wax,Dischav X Pogodeth Presents: Gets Worse + Supports
Sep 9th,Holloway,Kim Fisher presents: ENJOY EVERY SANDWICH - an evening of talking and singing
Sep 9th,Brickmakers,The Black Dog Music Project
Sep 9th,Arts Centre,Round Midnight presents Yetii
